sub_category,product_id,cost_price,list_price,quantity,discount_percent,profit,discount,sales_price
Bookcases,FUR-BO-10003404,1080,1290,3,4,108.0,108.0,1296.0
Binders,OFF-BI-10004233,30,30,2,5,3.0,3.0,36.0
Storage,OFF-ST-10001272,220,260,2,2,22.0,22.0,264.0
Labels,OFF-LA-10001175,10,10,5,2,1.0,1.0,12.0
Envelopes,OFF-EN-10004030,10,10,3,5,1.0,1.0,12.0
Chairs,FUR-CH-10004287,720,880,4,5,72.0,72.0,864.0
Phones,TEC-PH-10002834,1580,1980,11,2,158.0,158.0,1896.0
Envelopes,OFF-EN-10003055,70,80,2,4,7.0,7.0,84.0
Binders,OFF-BI-10003460,10,10,2,5,1.0,1.0,12.0
Labels,OFF-LA-10001569,0,0,1,5,0.0,0.0,0.0
Tables,FUR-TA-10004534,300,370,3,4,30.0,30.0,360.0
Binders,OFF-BI-10002954,0,0,2,5,0.0,0.0,0.0
Accessories,TEC-AC-10003832,60,80,3,3,6.0,6.0,72.0
Paper,OFF-PA-10000474,30,30,1,2,3.0,3.0,36.0
Chairs,FUR-CH-10002774,30,40,1,3,3.0,3.0,36.0
Appliances,OFF-AP-10002765,100,110,4,2,10.0,10.0,120.0
Paper,OFF-PA-10001144,140,170,3,2,14.0,14.0,168.0
Chairs,FUR-CH-10003761,730,790,6,4,73.0,73.0,876.0
Paper,OFF-PA-10004665,20,30,2,2,2.0,2.0,24.0
Storage,OFF-ST-10000078,1100,1330,5,5,110.0,110.0,1320.0
Paper,OFF-PA-10000357,140,170,3,5,14.0,14.0,168.0
Art,OFF-AR-10000422,10,10,5,3,1.0,1.0,12.0
Appliances,OFF-AP-10001205,30,40,1,4,3.0,3.0,36.0
Binders,OFF-BI-10001116,10,10,7,5,1.0,1.0,12.0
Binders,OFF-BI-10002931,30,30,2,2,3.0,3.0,36.0
Binders,OFF-BI-10000546,10,10,5,2,1.0,1.0,12.0
Accessories,TEC-AC-10002049,520,620,5,4,52.0,52.0,624.0
Binders,OFF-BI-10001196,70,90,4,2,7.0,7.0,84.0
Machines,TEC-MA-10002981,310,350,3,5,31.0,31.0,372.0
Phones,TEC-PH-10003601,130,160,1,5,13.0,13.0,156.0
Binders,OFF-BI-10000632,250,310,9,2,25.0,25.0,300.0
Envelopes,OFF-EN-10003055,90,100,3,3,9.0,9.0,108.0
Binders,OFF-BI-10001031,0,0,2,3,0.0,0.0,0.0
Binders,OFF-BI-10002003,0,0,5,5,0.0,0.0,0.0
Paper,OFF-PA-10003016,20,20,5,5,2.0,2.0,24.0
Art,OFF-AR-10004582,10,10,4,4,1.0,1.0,12.0
Binders,OFF-BI-10004364,10,10,3,2,1.0,1.0,12.0
Paper,OFF-PA-10002246,20,20,3,2,2.0,2.0,24.0
Phones,TEC-PH-10002890,100,110,3,5,10.0,10.0,120.0
Furnishings,FUR-FU-10001475,90,110,5,4,9.0,9.0,108.0
Furnishings,FUR-FU-10004270,20,20,1,5,2.0,2.0,24.0
Paper,OFF-PA-10003465,30,30,2,5,3.0,3.0,36.0
Machines,TEC-MA-10003626,760,820,4,4,76.0,76.0,912.0
Machines,TEC-MA-10002412,18110,22640,6,4,1811.0,1811.0,21732.0
Paper,OFF-PA-10001804,20,20,4,2,2.0,2.0,24.0
Art,OFF-AR-10003183,10,10,3,4,1.0,1.0,12.0
Furnishings,FUR-FU-10004270,30,30,2,3,3.0,3.0,36.0
Fasteners,OFF-FA-10003112,20,20,3,3,2.0,2.0,24.0
Furnishings,FUR-FU-10001986,100,120,3,3,10.0,10.0,120.0
Paper,OFF-PA-10002319,110,120,3,2,11.0,11.0,132.0
Accessories,TEC-AC-10002323,120,130,6,4,12.0,12.0,144.0
Supplies,OFF-SU-10001165,20,20,2,5,2.0,2.0,24.0
Paper,OFF-PA-10001246,20,20,3,2,2.0,2.0,24.0
Paper,OFF-PA-10001815,160,190,4,5,16.0,16.0,192.0
Furnishings,FUR-FU-10001876,200,230,7,2,20.0,20.0,240.0
Machines,TEC-MA-10000488,1650,1920,3,3,165.0,165.0,1980.0
Binders,OFF-BI-10001098,10,10,2,5,1.0,1.0,12.0
Furnishings,FUR-FU-10003577,50,50,4,5,5.0,5.0,60.0
Art,OFF-AR-10002656,50,60,9,2,5.0,5.0,60.0
Phones,TEC-PH-10004531,260,300,3,5,26.0,26.0,312.0
Art,OFF-AR-10003251,10,10,5,5,1.0,1.0,12.0
Phones,TEC-PH-10000673,120,130,2,5,12.0,12.0,144.0
Accessories,TEC-AC-10000158,70,70,2,2,7.0,7.0,84.0
Phones,TEC-PH-10002075,320,380,3,4,32.0,32.0,384.0
Storage,OFF-ST-10004340,100,120,2,4,10.0,10.0,120.0
Furnishings,FUR-FU-10002759,20,20,3,4,2.0,2.0,24.0
Fasteners,OFF-FA-10000585,10,10,3,3,1.0,1.0,12.0
Appliances,OFF-AP-10004859,50,60,5,3,5.0,5.0,60.0
Storage,OFF-ST-10001558,70,80,5,2,7.0,7.0,84.0
Labels,OFF-LA-10004689,10,10,5,2,1.0,1.0,12.0
Binders,OFF-BI-10002867,90,100,2,3,9.0,9.0,108.0
Phones,TEC-PH-10003811,310,360,5,5,31.0,31.0,372.0
Tables,FUR-TA-10000849,300,350,4,2,30.0,30.0,360.0
Binders,OFF-BI-10000848,0,0,1,2,0.0,0.0,0.0
Phones,TEC-PH-10003072,600,630,7,3,60.0,60.0,720.0
Art,OFF-AR-10001547,10,10,3,3,1.0,1.0,12.0
Accessories,TEC-AC-10001838,680,800,4,5,68.0,68.0,816.0
Furnishings,FUR-FU-10004017,100,110,1,4,10.0,10.0,120.0
Phones,TEC-PH-10002923,70,70,2,3,7.0,7.0,84.0
Art,OFF-AR-10000716,10,10,1,5,1.0,1.0,12.0
Paper,OFF-PA-10000249,40,50,4,3,4.0,4.0,48.0
Phones,TEC-PH-10003691,360,380,3,5,36.0,36.0,432.0
Paper,OFF-PA-10001560,40,40,7,3,4.0,4.0,48.0
Bookcases,FUR-BO-10004467,270,300,3,3,27.0,27.0,324.0
Phones,TEC-PH-10001819,80,90,2,3,8.0,8.0,96.0
Supplies,OFF-SU-10000157,400,480,4,3,40.0,40.0,480.0
Accessories,TEC-AC-10004227,20,30,2,2,2.0,2.0,24.0
Envelopes,OFF-EN-10003134,50,50,5,5,5.0,5.0,60.0
Furnishings,FUR-FU-10004671,40,40,2,4,4.0,4.0,48.0
Furnishings,FUR-FU-10002253,220,260,6,5,22.0,22.0,264.0
Phones,TEC-PH-10002726,110,130,3,5,11.0,11.0,132.0
Accessories,TEC-AC-10004571,60,80,1,3,6.0,6.0,72.0
Tables,FUR-TA-10002228,590,700,3,3,59.0,59.0,708.0
Accessories,TEC-AC-10004127,30,30,4,5,3.0,3.0,36.0
Binders,OFF-BI-10001553,10,10,3,3,1.0,1.0,12.0
Chairs,FUR-CH-10002758,510,590,3,5,51.0,51.0,612.0
Storage,OFF-ST-10000532,390,420,11,4,39.0,39.0,468.0
Chairs,FUR-CH-10000988,180,230,2,2,18.0,18.0,216.0
Art,OFF-AR-10003251,10,10,2,3,1.0,1.0,12.0
Accessories,TEC-AC-10003174,290,320,3,2,29.0,29.0,348.0
Phones,TEC-PH-10002310,740,780,5,2,74.0,74.0,888.0
Appliances,OFF-AP-10002651,1330,1450,5,3,133.0,133.0,1596.0
Paper,OFF-PA-10001184,10,10,2,2,1.0,1.0,12.0
Accessories,TEC-AC-10002402,200,240,3,5,20.0,20.0,240.0
Furnishings,FUR-FU-10004270,70,80,4,2,7.0,7.0,84.0
Storage,OFF-ST-10001526,430,480,4,5,43.0,43.0,516.0
Paper,OFF-PA-10002893,40,50,5,4,4.0,4.0,48.0
Accessories,TEC-AC-10003709,0,0,1,3,0.0,0.0,0.0
Binders,OFF-BI-10001191,90,100,5,2,9.0,9.0,108.0
Binders,OFF-BI-10003166,10,10,3,3,1.0,1.0,12.0
Binders,OFF-BI-10003982,20,30,5,4,2.0,2.0,24.0
Storage,OFF-ST-10004835,10,10,2,2,1.0,1.0,12.0
Appliances,OFF-AP-10000159,30,30,1,5,3.0,3.0,36.0
Appliances,OFF-AP-10002945,1590,1920,8,5,159.0,159.0,1908.0
Appliances,OFF-AP-10001242,20,30,2,4,2.0,2.0,24.0
Accessories,TEC-AC-10003038,40,50,7,2,4.0,4.0,48.0
Accessories,TEC-AC-10003289,40,50,3,4,4.0,4.0,48.0
Storage,OFF-ST-10000918,50,50,5,5,5.0,5.0,60.0
Furnishings,FUR-FU-10001940,20,20,3,3,2.0,2.0,24.0
Binders,OFF-BI-10002852,40,50,3,2,4.0,4.0,48.0
Paper,OFF-PA-10004451,10,10,2,2,1.0,1.0,12.0
Storage,OFF-ST-10004804,140,150,3,3,14.0,14.0,168.0
Appliances,OFF-AP-10003971,60,60,7,5,6.0,6.0,72.0
Bookcases,FUR-BO-10003159,160,200,2,3,16.0,16.0,192.0
Furnishings,FUR-FU-10001935,20,20,8,3,2.0,2.0,24.0
Accessories,TEC-AC-10003433,0,0,3,4,0.0,0.0,0.0
Labels,OFF-LA-10004544,50,60,4,5,5.0,5.0,60.0
Art,OFF-AR-10001026,20,20,10,4,2.0,2.0,24.0
Phones,TEC-PH-10001336,220,260,2,2,22.0,22.0,264.0
Phones,TEC-PH-10003187,20,20,2,3,2.0,2.0,24.0
Phones,TEC-PH-10004897,20,20,4,4,2.0,2.0,24.0
Chairs,FUR-CH-10004997,530,600,4,4,53.0,53.0,636.0
Fasteners,OFF-FA-10002763,10,10,2,5,1.0,1.0,12.0
Furnishings,FUR-FU-10001588,60,60,5,4,6.0,6.0,72.0
Art,OFF-AR-10000940,20,20,7,4,2.0,2.0,24.0
Furnishings,FUR-FU-10002759,30,40,5,3,3.0,3.0,36.0
Appliances,OFF-AP-10000358,30,30,2,4,3.0,3.0,36.0
Appliances,OFF-AP-10003281,40,40,3,4,4.0,4.0,48.0
Paper,OFF-PA-10000029,10,10,1,5,1.0,1.0,12.0
Phones,TEC-PH-10001557,950,1080,14,5,95.0,95.0,1140.0
Phones,TEC-PH-10000576,390,440,4,2,39.0,39.0,468.0
Binders,OFF-BI-10002764,20,20,7,2,2.0,2.0,24.0
Bookcases,FUR-BO-10001337,290,310,3,3,29.0,29.0,348.0
Art,OFF-AR-10002257,10,10,4,2,1.0,1.0,12.0
Paper,OFF-PA-10001019,40,40,2,4,4.0,4.0,48.0
Binders,OFF-BI-10003364,130,150,5,2,13.0,13.0,156.0
Phones,TEC-PH-10000984,620,780,5,5,62.0,62.0,744.0
Art,OFF-AR-10001683,10,10,1,4,1.0,1.0,12.0
Furnishings,FUR-FU-10000629,30,40,3,4,3.0,3.0,36.0
Paper,OFF-PA-10003893,10,10,3,2,1.0,1.0,12.0
Paper,OFF-PA-10004239,30,30,6,5,3.0,3.0,36.0
Chairs,FUR-CH-10000553,40,50,2,4,4.0,4.0,48.0
Fasteners,OFF-FA-10004395,10,10,2,2,1.0,1.0,12.0
Paper,OFF-PA-10004782,10,10,2,3,1.0,1.0,12.0
Bookcases,FUR-BO-10002213,600,700,5,4,60.0,60.0,720.0
Chairs,FUR-CH-10001854,480,560,2,5,48.0,48.0,576.0
Paper,OFF-PA-10000157,160,180,9,4,16.0,16.0,192.0
Furnishings,FUR-FU-10001185,150,190,6,4,15.0,15.0,180.0
Tables,FUR-TA-10001520,180,210,3,4,18.0,18.0,216.0
Accessories,TEC-AC-10004145,910,1000,4,2,91.0,91.0,1092.0
Tables,FUR-TA-10000688,550,650,3,3,55.0,55.0,660.0
Binders,OFF-BI-10001510,100,110,5,2,10.0,10.0,120.0
Chairs,FUR-CH-10003817,60,60,1,4,6.0,6.0,72.0
Furnishings,FUR-FU-10000308,100,120,2,5,10.0,10.0,120.0
Storage,OFF-ST-10003208,880,1090,6,4,88.0,88.0,1056.0
Binders,OFF-BI-10003784,10,10,5,2,1.0,1.0,12.0
Tables,FUR-TA-10003748,290,300,3,3,29.0,29.0,348.0
Phones,TEC-PH-10002563,270,300,3,2,27.0,27.0,324.0
Art,OFF-AR-10000122,10,10,2,2,1.0,1.0,12.0
Storage,OFF-ST-10000352,40,50,2,3,4.0,4.0,48.0
Paper,OFF-PA-10003270,30,30,8,3,3.0,3.0,36.0
Bookcases,FUR-BO-10003272,240,300,2,4,24.0,24.0,288.0
Binders,OFF-BI-10002982,0,0,2,3,0.0,0.0,0.0
Envelopes,OFF-EN-10001509,0,0,2,5,0.0,0.0,0.0
Paper,OFF-PA-10002421,100,110,6,3,10.0,10.0,120.0
Storage,OFF-ST-10000760,50,60,5,4,5.0,5.0,60.0
Paper,OFF-PA-10002923,70,80,2,5,7.0,7.0,84.0
Storage,OFF-ST-10001128,410,440,5,2,41.0,41.0,492.0
Phones,TEC-PH-10000673,150,160,3,3,15.0,15.0,180.0
Art,OFF-AR-10001547,20,20,7,5,2.0,2.0,24.0
Binders,OFF-BI-10001890,10,10,2,3,1.0,1.0,12.0
Appliances,OFF-AP-10003971,10,10,1,2,1.0,1.0,12.0
Paper,OFF-PA-10000520,20,20,3,5,2.0,2.0,24.0
Binders,OFF-BI-10000977,110,120,5,2,11.0,11.0,132.0
Machines,TEC-MA-10002178,560,700,2,3,56.0,56.0,672.0
Storage,OFF-ST-10001526,100,120,1,3,10.0,10.0,120.0
Chairs,FUR-CH-10003379,980,1140,4,3,98.0,98.0,1176.0
Paper,OFF-PA-10000100,180,230,7,5,18.0,18.0,216.0
Storage,OFF-ST-10001809,120,140,2,3,12.0,12.0,144.0
Accessories,TEC-AC-10000387,40,40,3,2,4.0,4.0,48.0
Chairs,FUR-CH-10004853,710,850,8,3,71.0,71.0,852.0
Art,OFF-AR-10001958,50,50,3,5,5.0,5.0,60.0
Binders,OFF-BI-10003527,680,760,3,3,68.0,68.0,816.0
Furnishings,FUR-FU-10003832,60,60,6,5,6.0,6.0,72.0
Binders,OFF-BI-10001359,2390,2690,3,3,239.0,239.0,2868.0
Binders,OFF-BI-10002976,10,10,6,2,1.0,1.0,12.0
Storage,OFF-ST-10000736,50,60,1,4,5.0,5.0,60.0
Paper,OFF-PA-10001745,30,30,4,5,3.0,3.0,36.0
Furnishings,FUR-FU-10000409,10,10,1,5,1.0,1.0,12.0
Furnishings,FUR-FU-10000221,20,20,4,3,2.0,2.0,24.0
Storage,OFF-ST-10000344,40,40,3,2,4.0,4.0,48.0
Labels,OFF-LA-10003663,20,20,7,4,2.0,2.0,24.0
Chairs,FUR-CH-10001215,1490,1600,4,3,149.0,149.0,1788.0
Chairs,FUR-CH-10000988,180,230,2,3,18.0,18.0,216.0
Accessories,TEC-AC-10003441,60,70,4,3,6.0,6.0,72.0
Phones,TEC-PH-10004389,310,380,3,3,31.0,31.0,372.0
Bookcases,FUR-BO-10004695,1340,1630,9,5,134.0,134.0,1608.0
Paper,OFF-PA-10000100,240,290,7,3,24.0,24.0,288.0
Paper,OFF-PA-10000223,20,20,4,2,2.0,2.0,24.0
Storage,OFF-ST-10001325,30,30,3,5,3.0,3.0,36.0
Appliances,OFF-AP-10004249,70,80,7,4,7.0,7.0,84.0
Art,OFF-AR-10000588,50,60,3,4,5.0,5.0,60.0
Supplies,OFF-SU-10000946,20,30,4,2,2.0,2.0,24.0
Supplies,OFF-SU-10001225,10,10,5,4,1.0,1.0,12.0
Storage,OFF-ST-10001558,40,40,3,5,4.0,4.0,48.0
Furnishings,FUR-FU-10001546,20,20,2,5,2.0,2.0,24.0
Paper,OFF-PA-10002581,60,70,3,5,6.0,6.0,72.0
Chairs,FUR-CH-10001482,270,310,3,3,27.0,27.0,324.0
Art,OFF-AR-10002399,0,0,1,3,0.0,0.0,0.0
Storage,OFF-ST-10001963,750,810,8,2,75.0,75.0,900.0
Fasteners,OFF-FA-10002988,10,10,3,4,1.0,1.0,12.0
Chairs,FUR-CH-10004289,120,150,2,2,12.0,12.0,144.0
Chairs,FUR-CH-10000785,920,1010,7,5,92.0,92.0,1104.0
Envelopes,OFF-EN-10003040,50,50,2,4,5.0,5.0,60.0
Art,OFF-AR-10001573,0,0,2,5,0.0,0.0,0.0
Accessories,TEC-AC-10000844,210,250,3,5,21.0,21.0,252.0
Binders,OFF-BI-10000756,30,30,6,2,3.0,3.0,36.0
Supplies,OFF-SU-10000381,30,30,3,5,3.0,3.0,36.0
Binders,OFF-BI-10004094,10,10,5,5,1.0,1.0,12.0
Furnishings,FUR-FU-10001852,10,10,4,5,1.0,1.0,12.0
Binders,OFF-BI-10000014,20,20,2,4,2.0,2.0,24.0
Chairs,FUR-CH-10003396,290,310,5,5,29.0,29.0,348.0
Art,OFF-AR-10003811,10,10,3,2,1.0,1.0,12.0
Paper,OFF-PA-10003172,10,10,2,2,1.0,1.0,12.0
Paper,OFF-PA-10000289,20,30,5,5,2.0,2.0,24.0
Paper,OFF-PA-10000791,20,20,5,5,2.0,2.0,24.0
Chairs,FUR-CH-10002304,40,50,2,2,4.0,4.0,48.0
Binders,OFF-BI-10000136,20,20,3,2,2.0,2.0,24.0
Paper,OFF-PA-10003739,10,10,2,5,1.0,1.0,12.0
Paper,OFF-PA-10002479,30,30,5,4,3.0,3.0,36.0
Furnishings,FUR-FU-10000771,60,70,11,5,6.0,6.0,72.0
Phones,TEC-PH-10001552,40,40,3,2,4.0,4.0,48.0
Art,OFF-AR-10001915,50,50,5,4,5.0,5.0,60.0
Copiers,TEC-CO-10000971,890,960,4,2,89.0,89.0,1068.0
Chairs,FUR-CH-10004086,330,410,2,5,33.0,33.0,396.0
Copiers,TEC-CO-10000971,410,480,2,2,41.0,41.0,492.0
Labels,OFF-LA-10001317,10,10,4,4,1.0,1.0,12.0
Paper,OFF-PA-10003656,150,180,7,5,15.0,15.0,180.0
Paper,OFF-PA-10002160,20,20,5,4,2.0,2.0,24.0
Paper,OFF-PA-10000575,30,40,7,5,3.0,3.0,36.0
Chairs,FUR-CH-10003981,470,540,3,5,47.0,47.0,564.0
Storage,OFF-ST-10002615,290,310,2,4,29.0,29.0,348.0
Paper,OFF-PA-10000327,10,10,2,4,1.0,1.0,12.0
Storage,OFF-ST-10001325,40,50,5,2,4.0,4.0,48.0
Labels,OFF-LA-10001771,10,10,3,3,1.0,1.0,12.0
Fasteners,OFF-FA-10004968,10,10,3,5,1.0,1.0,12.0
Appliances,OFF-AP-10000576,330,390,4,2,33.0,33.0,396.0
Envelopes,OFF-EN-10003286,30,40,5,2,3.0,3.0,36.0
Art,OFF-AR-10003772,30,40,4,5,3.0,3.0,36.0
Binders,OFF-BI-10002852,30,40,3,4,3.0,3.0,36.0
Phones,TEC-PH-10002890,110,140,3,2,11.0,11.0,132.0
Binders,OFF-BI-10001308,10,10,2,2,1.0,1.0,12.0
Phones,TEC-PH-10001750,230,260,4,5,23.0,23.0,276.0
Art,OFF-AR-10003338,10,10,1,3,1.0,1.0,12.0
Fasteners,OFF-FA-10002763,20,20,5,2,2.0,2.0,24.0
Furnishings,FUR-FU-10002088,10,10,2,3,1.0,1.0,12.0
Furnishings,FUR-FU-10003976,60,70,7,3,6.0,6.0,72.0
Storage,OFF-ST-10001511,120,130,2,4,12.0,12.0,144.0
Binders,OFF-BI-10000301,0,0,3,3,0.0,0.0,0.0
Fasteners,OFF-FA-10003495,10,10,1,4,1.0,1.0,12.0
Appliances,OFF-AP-10001303,20,20,1,4,2.0,2.0,24.0
Furnishings,FUR-FU-10002116,60,70,1,3,6.0,6.0,72.0
Furnishings,FUR-FU-10000771,20,20,3,3,2.0,2.0,24.0
Art,OFF-AR-10002255,10,10,3,5,1.0,1.0,12.0
Binders,OFF-BI-10004995,1340,1630,4,5,134.0,134.0,1608.0
Furnishings,FUR-FU-10002597,20,20,4,5,2.0,2.0,24.0
Binders,OFF-BI-10004970,10,10,2,2,1.0,1.0,12.0
Binders,OFF-BI-10002557,10,10,2,3,1.0,1.0,12.0
Chairs,FUR-CH-10000785,120,140,1,4,12.0,12.0,144.0
Phones,TEC-PH-10002310,140,160,1,4,14.0,14.0,168.0
Phones,TEC-PH-10002834,370,430,3,5,37.0,37.0,444.0
Envelopes,OFF-EN-10000927,30,40,1,3,3.0,3.0,36.0
Binders,OFF-BI-10001636,40,50,7,4,4.0,4.0,48.0
Paper,OFF-PA-10001736,220,250,7,3,22.0,22.0,264.0
Paper,OFF-PA-10000482,160,190,5,4,16.0,16.0,192.0
Binders,OFF-BI-10001658,50,60,3,3,5.0,5.0,60.0
Chairs,FUR-CH-10000422,80,90,1,3,8.0,8.0,96.0
Chairs,FUR-CH-10004675,1390,1530,7,5,139.0,139.0,1668.0
Chairs,FUR-CH-10002880,350,370,3,5,35.0,35.0,420.0
Storage,OFF-ST-10000675,290,310,9,3,29.0,29.0,348.0
Furnishings,FUR-FU-10002685,20,20,1,3,2.0,2.0,24.0
Furnishings,FUR-FU-10004020,40,40,7,2,4.0,4.0,48.0
Furnishings,FUR-FU-10004963,20,30,3,4,2.0,2.0,24.0
Binders,OFF-BI-10000174,50,60,14,3,5.0,5.0,60.0
Envelopes,OFF-EN-10000461,30,40,5,4,3.0,3.0,36.0
Accessories,TEC-AC-10001266,40,40,4,3,4.0,4.0,48.0
Paper,OFF-PA-10002160,20,20,5,4,2.0,2.0,24.0
Chairs,FUR-CH-10004875,100,110,2,3,10.0,10.0,120.0
Furnishings,FUR-FU-10000305,90,110,2,5,9.0,9.0,108.0
Phones,TEC-PH-10000347,10,10,2,2,1.0,1.0,12.0
Phones,TEC-PH-10001459,590,670,2,4,59.0,59.0,708.0
Phones,TEC-PH-10000439,30,40,1,5,3.0,3.0,36.0
Chairs,FUR-CH-10002647,180,190,3,4,18.0,18.0,216.0
Binders,OFF-BI-10003910,0,0,1,3,0.0,0.0,0.0
Binders,OFF-BI-10001097,20,20,4,3,2.0,2.0,24.0
Fasteners,OFF-FA-10004854,40,50,4,3,4.0,4.0,48.0
Paper,OFF-PA-10003673,20,20,3,3,2.0,2.0,24.0
Labels,OFF-LA-10002034,40,40,8,3,4.0,4.0,48.0
Chairs,FUR-CH-10002774,70,80,2,5,7.0,7.0,84.0
Chairs,FUR-CH-10003817,80,100,2,2,8.0,8.0,96.0
Binders,OFF-BI-10002949,20,20,5,2,2.0,2.0,24.0
Furnishings,FUR-FU-10002445,20,20,2,2,2.0,2.0,24.0
Furnishings,FUR-FU-10001473,30,30,6,4,3.0,3.0,36.0
Storage,OFF-ST-10002562,30,30,4,4,3.0,3.0,36.0
Appliances,OFF-AP-10002118,410,500,3,2,41.0,41.0,492.0
Paper,OFF-PA-10001800,30,30,6,2,3.0,3.0,36.0
Binders,OFF-BI-10002827,10,10,8,4,1.0,1.0,12.0
Furnishings,FUR-FU-10004671,30,30,2,4,3.0,3.0,36.0
Storage,OFF-ST-10000736,240,260,4,5,24.0,24.0,288.0
Binders,OFF-BI-10004656,10,10,5,4,1.0,1.0,12.0
Tables,FUR-TA-10001095,210,240,2,2,21.0,21.0,252.0
Paper,OFF-PA-10000213,20,20,4,4,2.0,2.0,24.0
Chairs,FUR-CH-10001797,160,190,7,2,16.0,16.0,192.0
Storage,OFF-ST-10002214,20,20,2,2,2.0,2.0,24.0
Chairs,FUR-CH-10000422,460,550,6,3,46.0,46.0,552.0
Paper,OFF-PA-10003848,20,20,4,4,2.0,2.0,24.0
Furnishings,FUR-FU-10003623,40,40,2,5,4.0,4.0,48.0
Chairs,FUR-CH-10001797,100,120,4,4,10.0,10.0,120.0
Binders,OFF-BI-10003094,10,10,4,3,1.0,1.0,12.0
Storage,OFF-ST-10002205,50,50,3,3,5.0,5.0,60.0
Tables,FUR-TA-10003238,230,280,1,4,23.0,23.0,276.0
Furnishings,FUR-FU-10000755,20,20,4,2,2.0,2.0,24.0
Paper,OFF-PA-10002893,20,20,2,3,2.0,2.0,24.0
Storage,OFF-ST-10000689,1140,1270,9,5,114.0,114.0,1368.0
Accessories,TEC-AC-10004227,10,10,1,2,1.0,1.0,12.0
Binders,OFF-BI-10000174,20,20,4,2,2.0,2.0,24.0
Storage,OFF-ST-10001809,410,450,5,5,41.0,41.0,492.0
Binders,OFF-BI-10002309,30,30,7,5,3.0,3.0,36.0
Appliances,OFF-AP-10004532,50,60,3,5,5.0,5.0,60.0
Binders,OFF-BI-10003091,840,900,4,5,84.0,84.0,1008.0
Binders,OFF-BI-10004654,50,60,4,2,5.0,5.0,60.0
Storage,OFF-ST-10000760,50,60,5,3,5.0,5.0,60.0
Envelopes,OFF-EN-10001539,20,20,4,5,2.0,2.0,24.0
Furnishings,FUR-FU-10000550,0,0,1,3,0.0,0.0,0.0
Accessories,TEC-AC-10003628,90,100,4,2,9.0,9.0,108.0
Machines,TEC-MA-10004521,200,210,3,4,20.0,20.0,240.0
Appliances,OFF-AP-10003860,40,40,2,4,4.0,4.0,48.0
Binders,OFF-BI-10000069,10,10,2,3,1.0,1.0,12.0
Binders,OFF-BI-10003655,20,20,5,5,2.0,2.0,24.0
Binders,OFF-BI-10001628,30,30,4,2,3.0,3.0,36.0
Appliances,OFF-AP-10003779,190,210,1,3,19.0,19.0,228.0
Binders,OFF-BI-10000666,80,90,3,4,8.0,8.0,96.0
Appliances,OFF-AP-10000828,720,900,5,5,72.0,72.0,864.0
Binders,OFF-BI-10002706,30,30,3,5,3.0,3.0,36.0
Furnishings,FUR-FU-10004748,160,190,3,2,16.0,16.0,192.0
Appliances,OFF-AP-10000026,210,240,5,4,21.0,21.0,252.0
Binders,OFF-BI-10000773,10,10,5,2,1.0,1.0,12.0
Machines,TEC-MA-10000822,2190,2550,5,5,219.0,219.0,2628.0
Binders,OFF-BI-10001543,20,20,2,5,2.0,2.0,24.0
Binders,OFF-BI-10003355,10,10,6,3,1.0,1.0,12.0
Paper,OFF-PA-10002005,20,20,4,4,2.0,2.0,24.0
Tables,FUR-TA-10004154,290,340,2,4,29.0,29.0,348.0
Storage,OFF-ST-10002743,650,730,8,2,65.0,65.0,780.0
Furnishings,FUR-FU-10004973,20,20,3,5,2.0,2.0,24.0
Accessories,TEC-AC-10002842,590,670,7,5,59.0,59.0,708.0
Fasteners,OFF-FA-10002701,10,10,3,3,1.0,1.0,12.0
Paper,OFF-PA-10001125,80,90,3,2,8.0,8.0,96.0
Furnishings,FUR-FU-10004090,60,70,3,5,6.0,6.0,72.0
Binders,OFF-BI-10001510,80,90,5,4,8.0,8.0,96.0
Bookcases,FUR-BO-10002202,260,330,2,2,26.0,26.0,312.0
Binders,OFF-BI-10001922,40,50,11,5,4.0,4.0,48.0
Paper,OFF-PA-10001667,20,20,3,2,2.0,2.0,24.0
Furnishings,FUR-FU-10001488,220,250,3,2,22.0,22.0,264.0
Binders,OFF-BI-10002799,10,10,2,4,1.0,1.0,12.0
Chairs,FUR-CH-10003846,400,500,5,3,40.0,40.0,480.0
Phones,TEC-PH-10003691,340,400,4,5,34.0,34.0,408.0
Bookcases,FUR-BO-10000468,150,190,4,5,15.0,15.0,180.0
Art,OFF-AR-10001044,30,30,1,5,3.0,3.0,36.0
Chairs,FUR-CH-10003833,190,200,4,4,19.0,19.0,228.0
Paper,OFF-PA-10004355,20,20,4,3,2.0,2.0,24.0
Accessories,TEC-AC-10003038,40,50,6,2,4.0,4.0,48.0
Binders,OFF-BI-10002799,40,40,7,5,4.0,4.0,48.0
Art,OFF-AR-10003582,50,60,2,3,5.0,5.0,60.0
Paper,OFF-PA-10004451,20,30,5,4,2.0,2.0,24.0
Furnishings,FUR-FU-10004666,30,30,2,3,3.0,3.0,36.0
Tables,FUR-TA-10001520,160,170,3,4,16.0,16.0,192.0
Furnishings,FUR-FU-10004270,20,20,5,3,2.0,2.0,24.0
Paper,OFF-PA-10003172,10,10,2,5,1.0,1.0,12.0
Envelopes,OFF-EN-10002312,20,20,2,4,2.0,2.0,24.0
Chairs,FUR-CH-10002320,1850,2050,8,2,185.0,185.0,2220.0
Phones,TEC-PH-10001530,900,1020,5,3,90.0,90.0,1080.0
